x,y,dx,dy,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.32499361e+01,-3.58655405e+00,0.00000000e+00,0.00000000e+00,
1.32849264e+01,-3.52718925e+00,0.00000000e+00,0.00000000e+00,
1.32411652e+01,-3.48285174e+00,0.00000000e+00,0.00000000e+00,
1.32801752e+01,-3.50754905e+00,0.00000000e+00,0.00000000e+00,
1.32746086e+01,-3.43322134e+00,0.00000000e+00,0.00000000e+00,
1.32360897e+01,-3.49632406e+00,0.00000000e+00,0.00000000e+00,
1.32680445e+01,-3.53344464e+00,0.00000000e+00,0.00000000e+00,
1.30102224e+01,-3.17473245e+00,-5.74298084e-01,8.82550627e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.31602964e+01,-3.46461272e+00,0.00000000e+00,0.00000000e+00,
1.32006865e+01,-3.39546227e+00,0.00000000e+00,0.00000000e+00,
1.31492510e+01,-3.34280014e+00,0.00000000e+00,0.00000000e+00,
1.31932249e+01,-3.36702442e+00,0.00000000e+00,0.00000000e+00,
1.31874714e+01,-3.28973484e+00,0.00000000e+00,0.00000000e+00,
1.31449890e+01,-3.35691881e+00,0.00000000e+00,0.00000000e+00,
1.31777649e+01,-3.39869618e+00,0.00000000e+00,0.00000000e+00,
1.29016876e+01,-3.03331733e+00,-6.30937696e-01,9.95095670e-02,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.30644321e+01,-3.33513188e+00,0.00000000e+00,0.00000000e+00,
1.31114120e+01,-3.25621390e+00,0.00000000e+00,0.00000000e+00,
1.30497847e+01,-3.19489622e+00,0.00000000e+00,0.00000000e+00,
1.31003542e+01,-3.21734786e+00,0.00000000e+00,0.00000000e+00,
1.30944252e+01,-3.14064193e+00,0.00000000e+00,0.00000000e+00,
1.30465813e+01,-3.20881248e+00,0.00000000e+00,0.00000000e+00,
1.30801573e+01,-3.25354934e+00,0.00000000e+00,0.00000000e+00,
1.27889471e+01,-2.88620257e+00,-6.86128199e-01,1.10880852e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.29619980e+01,-3.19930363e+00,0.00000000e+00,0.00000000e+00,
1.30158091e+01,-3.11060500e+00,0.00000000e+00,0.00000000e+00,
1.29437714e+01,-3.04016948e+00,0.00000000e+00,0.00000000e+00,
1.30008192e+01,-3.06041002e+00,0.00000000e+00,0.00000000e+00,
1.29947720e+01,-2.98598742e+00,0.00000000e+00,0.00000000e+00,
1.29416122e+01,-3.05343151e+00,0.00000000e+00,0.00000000e+00,
1.29754505e+01,-3.10111141e+00,0.00000000e+00,0.00000000e+00,
1.26683359e+01,-2.70838809e+00,-7.44011700e-01,1.23975538e-01,
7.90000000e+01,1.90000000e+01,1.53630802e+09,0.00000000e+00,
1.28523035e+01,-3.05271506e+00,0.00000000e+00,0.00000000e+00,
1.29122753e+01,-2.95364618e+00,0.00000000e+00,0.00000000e+00,
1.28314629e+01,-2.87372255e+00,0.00000000e+00,0.00000000e+00,
